Name_of_Mitigation_Action,Sector_Affected,GHGs_Affected,Objective_andor_Activity_Affected,Type_of_Instrument,Status_of_Implementation,Start_year_of_Implementation,Implementation_Entity,Estimate_of_Mitigation_Impact_in_2020_Kt_CO2_eq,Estimate_of_Mitigation_Impact_in_2030_Kt_CO2_eq,Brief_Description
British Columbia GHG Industrial Reporting and  Control Act*,Oil and Gas,"CH4, CO2",Reduce industrial GHG emissions growth,Fiscal,Implemented,2013,British Columbia ,NEh,NEh,"British Columbia implemented a liquefied natural gas emissions intensity benchmark under the Greenhouse Gas Industrial Reporting and Control Act. Liquefied natural gas (LNG) facilities are required to meet the emissions intensity benchmark of 0.16 tonnes CO2 eq/t LNG either through adopting more efficient technologies, using clean energy, investing in offsets, or purchasing “funded units” at CA$25/tonne that contribute to clean technologies."
British Columbia Clean Growth Infrastructure Royalty Program ,Oil and Gas,"CO2, CH4",Reduce oil and gas GHG emissions,Economic,Implemented,2016,British Columbia,NEh,NEh,"The Program encourages new capital investment in oil and natural gas infrastructure. The program creates and sustains good paying jobs for British Columbians and stimulates new royalty revenue while helping to achieve the Government’s GHG reduction targets and methane reduction targets. Oil and gas companies can apply for a deduction to the royalties they would otherwise pay to the Province under a competitive Request for Applications process. For projects that are approved, a company must fully fund and complete an approved project before it can apply to recover up to 50% of the project’s cost in the form of a royalty deduction."
British Columbia Electrification of the Natural Gas Sector*,Oil and Gas,"CH4, CO2, N2O",Reduce oil and gas GHG emissions,Economic,Implemented,2016,British Columbia,NEh,3470,BC amended the GHG Reduction (Clean Energy) Regulation to support the development of additional transmission infrastructure in northeast BC to provide clean electricity to meet increasing demand from the upstream natural gas sector. The regulation enables the electricity utility BC Hydro to provide incentives for electrification to bridge the cost difference between using natural gas and electricity in upstream oil and gas infrastructure.
British Columbia Expanded Incentives for Efficient Gas Equipment* ,Oil and Gas,"CO2, N2O",Reduce oil and gas GHG emissions,Economic,Implemented,2017,British Columbia ,80,80,"The incentives will allow utilities to expand their incentives by at least 100%, to encourage further adoption of technologies that reduce the emissions from gas fired equipment. "
British Columbia Regulatory Framework for Carbon Capture and Storage*,Oil and Gas,CO2,Reduce oil and gas GHG emissions,Regulatory,Planned,2020,British Columbia,NEh,590,The framework will allow carbon capture and storage projects at natural gas extraction and processing facilities to proceed upon the completion of regulatory policy work. CleanBC reaffirms the commitment to establish a regulatory framework for safe and effective underground CO2 storage and direct air capture.
British Columbia Methane Reduction Policy,Oil and Gas,CH4,Reduce oil and gas GHG emissions,Fiscal,Planned,2017,British Columbia,NEc,NAc,"This policy was introduced through an amendment to British Columbia’s Drilling and Production Regulation. It will come into effect on January 1, 2020, and reduce methane emissions from upstream oil and gas operations to meet or exceed federal and provincial methane emission reduction targets. The policy targets extraction and processing emissions (referred to as upstream in the natural gas sector), including: legacy phase, targeting a 45% reduction by 2025 in fugitive and vented emissions in infrastructure built before January 1, 2015; transition phase, including incentives through a new offset protocol to encourage further innovative projects, a Clean Infrastructure Royalty Credit Program for all applications built between 2015 and 2018, and a Clean Growth Infrastructure Royalty Program for applications in 2019 and beyond; and future phase, implementing standards to guide developments of projects after the transition phase, where leak detection and repair will be mandatory and protocols developed to align with other jurisdictions. Estimate of mitigation impact in 2030 is included under federal Regulations to Address Methane in the Oil and Gas Sector."
Alberta Oil Sands Emissions Limit Act*,Oil and Gas,CO2,Cap emissions from the oil sands sector to 100 Mt, Regulatory,Adopted,2018,Alberta,NEh,NEh,The Oil Sands Emission Limit Act creates the legal framework for setting a legislated maximum emissions limit of 100Mt in any year for oil sands facilities with provisions for co-generation and new upgrading capacity.
"Alberta Directive 060: Upstream  Petroleum Industry Flaring, Incinerating and Venting",Oil and Gas,"CH4, CO2",To reduce flaring and venting in the oil and gas sector,Regulatory,Implemented,1999,Alberta,4000,NEh,"Requirements have been developed in consultation with the Clean Air Strategic Alliance to eliminate or reduce the potential and observed impacts of these activities and to ensure that public safety concerns and environmental impacts are addressed before beginning to flare, incinerate, or vent. Directive 060 requirements are also aligned to ensure compliance with Alberta Environment and Sustainable Resource Development’s Alberta Ambient Air Quality Objectives and Guidelines. "
Alberta reduction of methane emissions*,Oil and Gas,CH4,Alberta will reduce methane emissions from upstream oil and gas operations by 45% from 2014 level by 2025,Regulatory,Implemented,2020,Alberta,NEc,NEc,"Alberta will reduce upstream oil and gas methane emissions by 45% by 2025. This will be achieved through the implementation of methane emission reduction requirements contained in Alberta Energy Regulator Directive 060: Upstream Petroleum Industry Flaring, Incinerating and Venting” and Directive 017: Measurement Requirements for Oil and Gas Operations”. These Directive amendments were published in December 2018 along with the Government of Alberta’s Methane Emission Reduction Regulation. Estimates of mitigation impact are included under Alberta’s Large Emitter Greenhouse Gas Regulations. "
Saskatchewan  Methane Action Plan,Oil and Gas,CH4,Reduce emissions from venting and flaring,Regulatory,Implemented,2019,Saskatchewan,NEe,NEe,Saskatchewan released the Methane Action Plan in January 2019. The plan commits to introducing regulation that will reduce methane emissions in the upstream oil and gas sector by between 40% and 45% by 2025. It also commits to introducing a suite of new programs and policies that will increase and accelerate opportunities to capture and commercialize methane.
Saskatchewan Oil and Gas Emissions Management Regulations,Oil and Gas,CH4,Reduce emissions from venting and flaring,Regulatory,Implemented,2019,Saskatchewan,NEh,4500,"Regulations under the Methane Action Plan to reduce greenhouse gas emissions from oil and gas wells and facilities using a results-based system that:•   Provides each oil and gas operator the ability to efficiently prioritize emission reduction investments; •   Supports adoption of innovative emissions reduction technologies; •   Firmly establishes provincial regulatory oversight of emissions from the oil and gas industry; and •   Includes a strategy to support the increased use of methane produced in association with oil for heating and electricity production, including the establishment of usage requirements for this source of natural gas."
Saskatchewan Regulation Respecting the Management and Reduction of Greenhouse Gases (Standards and Compliance)*,Oil and Gas,"CH4, CO2, HFCs, N2O,  SF6, PFCs",Reduce industrial emissions,Regulatory ,Implemented,2019,Saskatchewan,148.5,891.1,"Saskatchewan has developed sector-specific output-based performance standards on facilities emitting more than 25,000 tonnes of CO2 eq per year. The standards apply to more than 60 Saskatchewan industrial facilities that cumulatively generate 11.6% (approximately 9.0 million tonnes) of total provincial emissions and are expected to reduce that portion by a total of 10% by 2030. Obligate facilities that annually emit more than the regulated performance standard are able to use a suite of flexible compliance options to meet their obligations in the way best suited to their business models, including: •             Payments into a provincial technology fund; •             Purchase of best performance credits from other large industrial emitters who have emitted below their performance standard; and • Use of offset credits purchased through a provincial GHG offset system "
Newfoundland and Labrador methane regulations ,Oil and Gas,CH4,Reduce emissions from venting and flaring,Regulatory,Planned,2020,Newfoundland and Labrador,NEe,NEe,Newfoundland and Labrador is working with the federal government to adopt methane emissions regulations that recognize the unique management structure of the offshore petroleum industries in that province.  Newfoundland and Labrador will introduce regulations that will allow the Canada-Newfoundland and Labrador Offshore Petroleum Board to regulate methane emissions in a manner similar to Canadian Environmental Protection Act (1999) regulations.  
Green Construction through Wood Program**,Buildings,CO2,Reduce GHG emissions in the buildings sector,Economic,Implemented,2018,Natural Resources Canada,NEa,500,"The program launched in October 2017 and supports projects and activities that increase the use of wood as a greener building material in infrastructure projects. Calls for Expressions of Interest for tall wood buildings, low-rise non-residential buildings, and timber bridges have all closed. The program received 57 applications over the three calls and is targeting the delivery of 15-20 demonstration projects under the program. The majority of agreements have been signed and projects are underway."
Federal Energy Efficient Buildings Initiatives**,Buildings,"CO2, CH4, N2O",Accelerate and enhance the promotion of energy efficiency in the buildings sector,Information,Planned,2018,Natural Resources Canada,NEh,11200,"A number of energy efficiency measures have been outlined under Green Infrastructure, as part of the Investing in Canada Plan. These actions include: the development of netzero energy ready model building codes; the development of a new model code for building alterations by 2022; and joint efforts between the federal, provincial and territorial governments to require labelling of building energy use."
British Columbia Promoting Use of Low Carbon and Renewable Materials in Infrastructure,Buildings,CO2,Reduce the embedded carbon in infrastructure,Voluntary Agreement ,Planned,2017,British Columbia,NEh,NEh,BC is developing policies to increase the use of low carbon and renewable materials in all public sector infrastructure.
British Columbia Technology and Retrofit Incentive Programs*,Buildings,CO2,Reduce GHG emissions in buildings ,Economic,Implemented,2015,British Columbia ,130,80,"A variety of programs provide incentives for energy efficiency measures. CleanBC Better Homes and Better Buildings includes incentives for renovating or building homes and other buildings, including rebates for energy efficiency upgrades such as new windows, rebates to convert from less efficient oil heating systems to all-electric air source heat pumps, incentives to do energy-saving studies and upgrades, and energy coaching services for homes and businesses. The ISO 50001 incentive is run by the BC Government and the federal government and offers up to $80,000 of cost-shared assistance to BC industrial companies to implement energy management system projects that help facilities to comply with the standard, which enables companies to systematically reduce energy consumption and emissions. "
British Columbia Climate Action Charter,Buildings,CO2,Reduce GHG emissions in buildings and transportation ,Economic,Implemented,2008,British Columbia ,NEh,NEh,"The Charter is an agreement between provincial and municipal governments to work towards carbon neutral operations and complete, compact, low carbon communities."
British Columbia Building Green Code*,Buildings,CO2,Improve energy efficiency in new houses and buildings ,Regulatory,Implemented,2008,British Columbia,500,500,"Since 2008, British Columbia has been working to improve energy efficiency in the building sector, including for large residential, industrial and commercial buildings, houses and small buildings, as well as in public sector buildings, including a LEED Gold requirement and research on low carbon building material options. In 2017, BC introduced a Step Code: Increased Energy Efficiency Requirements in the BC Building Code, Energy Step Code: Energy Efficiency, and a Net-Zero Energy Ready Building Design Incentive. CleanBC, released in 2018, seeks to improve the Building Code further."
Saskatchewan Energy Efficiency Standards for Buildings*,Buildings,CO2,Reduce emissions associated with buildings,Regulatory,Adopted,2019,Saskatchewan,NEh,NEh,"Adopted the 2015 National Building Code effective January 1, 2018, with provisions that improve energy efficiency standards for houses and small buildings taking effect January 1, 2019. Will facilitate provisions in the National Building Code 2015 that provide for increased use of wood in building construction in order to extend carbon storage. New government buildings are required to exceed the energy performance requirements of the 2015 National Energy Code for Buildings by 10%. In addition, all new government builds and major renovations will be designed to meet or exceed LEED Silver certification standards."
Efficiency Manitoba Act and Energy Efficiency Programing*,Buildings,CO2,Reduce energy use and improve energy efficiency,Voluntary Agreement,Implemented,2001,Manitoba Hydro and Efficiency Manitoba,NEh,NEh,"Manitoba Hydro delivers demand side management programs to its residential, commercial and industrial customers to assist them to reduce their use of electricity and natural gas. Energy efficiency programming will be transitioned to Efficiency Manitoba, as per the Efficiency Manitoba Act, in in 2020. Efficiency Manitoba is a new standalone Crown corporation with the sole purpose of administering and delivering energy savings cost-effectively to consumers. As per the act, Efficiency Manitoba needs to meet legislated savings targets of 22.5% of domestic electricity demand (an average of 1.5% annually of domestic electricity consumption) and 11.25% of domestic natural gas demand (an average of 0.75% annually of natural gas consumption) over a 15-year period."
Ontario Building Code,Buildings,"CO2, CH4, N2O",Establish standards and promote improvements in energy efficiency,Regulatory,Planned,2018,Ontario,NEh,NEh,"Ontario intends to review its building code and support the adoption of cost effective energy efficiency measures that can lower the cost of electricity and natural gas needed to operate buildings. Ontario is also proposing to modernize the building code to better equip homes and buildings to be better able to withstand extreme weather events. This may include affordable adaptation measures such as requiring backwater valves in new homes that are at risk of backflow, and would reduce the impacts of basement flooding. "
Ontario Natural Gas Demand Side Management Programs*,Buildings,CO2,"Reduce natural gas consumption in the residential, commercial and industrial sectors",Regulatory,Implemented,2003,Ontario ,5300,NEh,"Ontario’s main natural gas utility, Enbridge Gas, has been delivering natural gas energy efficiency programs to its industrial, commercial, institutional and residential customers for over 20 years under the Demand Side Management (DSM) Framework, which is overseen by the Ontario Energy Board (OEB). Demand Side Management Programs have been implemented from 2003 to 2014, and the current plan which in operation from 2015 to 2020. The estimated associated GHG mitigation impact of 5.3 Mt accounts for: GHG savings from verified historic programs (2003–2017) that are expected to persist in 2020; and planned GHG savings from in-market programs (2018–2020) under the current 2015–2020 Demand Side Management Framework, that are expected to persist in 2020. As the 2015-2020 DSM Framework will expire on December 31, 2020, the OEB has initiated a consultation to consider the next generation DSM Framework, with a view to ensuring that the OEB’s approach remains current, responsive to energy efficiency and conservation market developments and consistent with broader government policy."
Québec Chauffez Vert Program,Buildings,CO2,Reduce GHG emissions in the building sector (private homes)  ,Economic,Implemented,2016,Québec   ,329,NEh,"Chauffez Vert is a program that encourages energy-efficient residential renovations in order to reduce the energy consumption and greenhouse gas emissions of homes in Québec, while improving the comfort of occupants. Financial assistance is granted for the conversion of a primary heating system that uses oil, propane or any other fossil fuel except natural gas, to a primary heating system powered by geothermal, hydro, wind or solar energy."
Québec Construction Code,Buildings,"CO2, CH4, N2O",Reduce GHG emissions and energy consumption in the building sector ,Regulatory,Planned,2020,Québec ,NEh,73.5,"The Construction Code was first amended in 2012 in order to introduce new energy efficiency standards for residential buildings (3 stories maximum). A second amendment phase is currently underway. These amendments will touch the energy efficiency requirements for commercial, institutional, industrial and tall residential buildings. They will improve the energy performance of new buildings by 20% to 25% compared to the previous regulation. A third phase is planned to further increase the energy efficiency requirements for the small residential sector and will occur once the amendments of phase two are implemented."
Québec Éconologis Program,Buildings,CO2,Reduce GHG emissions in the building sector  ,Economic,Implemented,2013,Québec  ,NEh,NEh,Éconologis is an energy efficiency program for low-income households. It allows these households to take advantage of free individualized advice and even to have electronic thermostats installed free of charge. 
Québec Novoclimat Program ,Buildings,"CO2, CH4, N2O",Reduce GHG emissions and energy consumption in the building sector ,Economic,Implemented,2013,Québec ,NEh,NEh,"The Novoclimat 2.0 Program–House component (implemented in 2013) encourages the construction of new high energy performance houses according to specific construction requirements. The program provides up to $4,000 in financial assistance to first-time owners of a Novoclimat 2.0 approved house. The Novoclimat 2.0 program also applies to small multiple-unit buildings such as a duplex, triplex and quadruplex as well as multiple-unit buildings of three or fewer stories and 600 m2 or less. The first Novoclimat program (implemented in 1999) still applies to properties of more than 600 m² and up to 10 stories for which the main energy source is electricity, natural gas or residual forest biomass. "
Quebec - Making institutions ecoresponsible,Buildings,CO2,Reduce GHGemissions in the building sector (institutional) ,Economic,Implemented,2016,Québec,22.8,NEh,"The program aims to provide financial assistance for projects that implement one or more targeted means of saving fossil fuel consumption with a prospect of reducing or avoiding overall GHG emissions. An example of a project: Work to replace oil or natural gas-fired boilers with systems that run on renewable energy (geothermal, aerothermal, electric boilers, etc.)"
Québec Residual Forest Biomass Program,Buildings,CO2,Reduce GHG emissions from heating buildings,Economic,Implemented,2013,Québec   ,79.4,NEh,This program aims to reduce GHG emissions and the consumption of fossil fuels by funding specific energy conversion projects to switch from fossil fuels to residual forest biomass. 
New Brunswick Energy Efficiency Program ,Buildings,"CO2,, N2O",Improve the energy efficiency of buildings and operations for all fuels ,Voluntary Agreement ,Implemented,2005,New Brunswick,60,260,"Through amendments to the Electricity Act, Efficiency New Brunswick was moved into NB Power and NB Power was provided the mandate to: promote energy efficiency measures in the residential, community and business sectors; develop and deliver programs and initiatives in relation to energy efficiency; promote the development of an energy efficiency service industry; act as a central resource for the promotion of energy efficiency; and raise awareness of how energy efficiency measures can lead to a more reliable energy supply for New Brunswick. "
New Brunswick Provincial Energy Retrofit and Renewable Energy Program,Buildings,"CO2,, N2O",Improve the energy efficiency of provincially operated buildings,Fiscal,Implemented,2016,New Brunswick,41,162,"These measures reduce GHG emissions through building systems re-commissioning, lighting upgrades, converting to lower emissions fuel sources and implementation of renewable energy systems. "
Nova Scotia Energy Efficiency Measures for Non-Electrically Heated Homes ,Buildings,"CO2, CH4, N2O",Encourage energy efficiency ,Economic,Implemented,2011,Nova Scotia,NEh,NEh,"Homeowners on a low income can qualify for no-charge home efficiency upgrades through Efficiency Nova Scotia’s Low Income Homeowner Service. Since 45% of the heat loss in a typical home occurs through the walls, floors and roof, a primary focus is on insulation and draft proofing. For those who qualify for the program, a certified energy advisor will conduct a home-energy assessment and energy efficient upgrades are provided at no cost to the homeowner. Program participants who heat with non-electrical heat sources save, on average, $900 per year."
Prince Edward Island Biomass,Buildings,CO2,Reduce energy use and GHG emissions from the building sector,Economic ,Planned,2022,Prince Edward Island,NEb,4,"The province solicited proposals for the installation of biomass heating systems in public buildings. Systems were selected for four facilities across PEI: West Royalty Elementary, Westwood Primary, ME Callaghan Intermediate, and a combined plant for Kensington Intermediate Senior High School and Queen Elizabeth Elementary. These four facilities will be installed by the end of 2019 and operational for this winter. This project is funded in part by the Government of Canada's Low Carbon Economy Leadership Fund. Six additional biomass systems are expected to be installed in public buildings in 2020."
Prince Edward Island Building Code Act*,Buildings,CO2,Reduce energy use and GHG emissions from the building sector,Regulatory,Adopted,2020,Prince Edward Island,NEh,10,"In 2017, Prince Edward Island passed the Building Code Act. This legislation will adopt both the National Building Code of Canada and the National Energy Code of Canada for Buildings. Draft regulations will undergo public consultation in 2019. The Act and regulations will come into effect in January 2020, with the exception of single and two-unit residential structures, which are proposed to be delayed by one additional year.  "
Prince Edward Island Energy Efficiency and Fuel Switching Rebate Programs (efficiencyPEI)* ,Buildings,CO2,Support residential and commercial energy efficiency,Fiscal,Implemented,2008,Prince Edward Island,NEh,145,"Prince Edward Island delivers a suite of programs to enhance efficiency in the residential and commercial building sector including Energy Efficiency Equipment and Appliance Rebates, Home Insulation Rebates, Instant Rebate Program, New Home Construction Incentive, Energy Efficiency Loan Program, Home Comfort and Winter Warming Programs (Low-income weatherization Building Envelope Upgrades), Energy Audit Programs, and Business Energy Rebates. Many of these programs have been expanded with support from the Low Carbon Economy Leadership Fund.  "
Newfoundland and Labrador energy efficiency support ,Buildings,"CO2, CH4, N2O","Support residential, commercial and public sector energy efficiency",Fiscal,Implemented,2019,Newfoundland and Labrador,NEh,10.6,"Newfoundland and Labrador, including through the electrical utilities, delivers a range of grant and low interest loans programs to enhance efficiency in the residential, commercial and public building sectors including for heat pump initiatives. Many of these programs are supported by the Low Carbon Economy Leadership Fund. Given that electricity will be largely emissions-free after 2019, GHG reductions will accrue from fuel-oil heated buildings and in off-grid communities."
Northwest Territories Arctic Energy Alliance Rebate Programs ,Buildings,CO2,Support energy and water efficient technologies,Fiscal,Implemented,2007,Northwest Territories,0.5,NEh,"The Northwest Territories has several publicly available building efficiency programs including: the Energy Efficiency Incentive Program (2007) that provides rebates for energy efficient appliances, residential retrofits, and new homes; the Alternative Technologies Program (2007) to support Indigenous and community governments, non-profit organizations, commercial businesses, and residents to convert to renewable and clean energies; and the Commercial Energy Conservation and Efficiency Program (2011) that enables eligible small businesses to receive free energy audits and rebates on the cost of retrofit expenses."
Northwest Territories Arctic Energy Alliance Enhanced Programs and  Services,Buildings,CO2,Enhanced support for energy efficient initiatives,Fiscal,Implemented,2019,Northwest Territories,2,7.3,"The Northwest Territories, with support from Environment and Climate Change Canada, has provided enhanced funding opportunities for some of the existing programs and services offered through Arctic Energy Alliance in addition to new programs such as; Low Income energy Assistance; Deep Home Energy Retrofits; Energy Efficiency Rebates for NGOs; Electric Heat Incentives; Wood Stove Programs; Community Energy Planning Implementation."
Yukon Commercial Energy Incentive Program ,Buildings,"CH4, CO2, N2O",Reduce diesel consumption for electricity and heat generation,Economic,Implemented,2015,Yukon,1,NEh,"The Government of Yukon’s Commercial Energy Incentive Program aims to improve energy use in multi-family dwellings, commercial buildings and institutional buildings, as well as provide incentives for installing renewable energy systems. From May 1, 2015 to July 2019, the Commercial Energy incentive assisted with 73 retrofits, mostly for LED lighting system upgrades. These retrofits saved enough energy to power approximately 622 non-electrically-heated homes for one year and prevented 672 tonnes of greenhouse gas emissions from being generated.  "
Yukon Residential Energy Incentive Program ,Buildings,"CO2, CH4, N2O",Reduce diesel consumption for electricity and heat generation,Economic,Implemented,2015,Yukon,NEh,NEh,"The Residential Energy incentive is for energy efficiency improvements to existing residences and for the construction of new super-insulated homes. From its start in 2015 to July 2019 the new homes rebate had an immediate and significant impact on the local construction industry, with approximately 67% of all the new homes constructed in Whitehorse built to a super-insulated standard. This program, along with Yukon’s appliance rebate program has prevented over 46,000 tonnes of greenhouse gas emissions over the lifetime of the programs."
Nunavut Energy Management  Program,Buildings,CO2,Reduction of fossil fuel consumption,Voluntary Agreement ,Implemented ,2007,Nunavut,2.14,23.78,"Initiated in 2007, the Nunavut Energy Management Program is a Government of Nunavut program led by the Department of Community and Government Services. The objectives are: •             To reduce by 20% water, fuel and electricity consumption by retrofitting existing Government of Nunavut owned facilities territory wide; • To reduce GHG emissions by substituting diesel generated energy with renewables where feasible; •             To explore new energy efficient building technologies."
Nunavut Housing Corporation’s Accelerated Modernization and Improvement Project,Buildings,CO2,Reduction of fossil fuel consumption ,Economic,Implemented ,2018,Nunavut,2.04,20.43,"The Nunavut Housing Corporation’s Accelerated Modernization and Improvement Project received funding from the Government of Canada’s Low Carbon Economy Fund in fall 2018 to oversee energy efficiency upgrades and retrofits to public housing units. Housing retrofits will include window and door replacements (Target 1) as well as hot water heater replacement (Target 2) and furnace/boiler replacements (Target 3). To kick-off this project, a master list of units which could benefit from upgrades was created out of 9/25 communities in Nunavut. These communities are Kugluktuk, Taloyoak, Baker Lake, Coral Harbour, Rankin Inlet, Sanikiluaq, Hall Beach, Igloolik, Iqaluit. From this list, specific units for 2019 have been selected in Iqaluit, Coral Harbour and Rankin Inlet. Contracts have been issued and work is expected to begin fall 2019 upon arrival of the sealift to the community. "
Energy Efficiency in Industry*,Heavy Industry,CO2,Improve industrial energy efficiency in Canada,"Fiscal, Voluntary Agreement, Information, Education ",Implemented,2016,Natural Resources Canada,1100,6700,"This program accelerates the adoption of recognized energy management systems, such as ENERGY STAR for Industry, ISO 50001 and Superior Energy Performance to improve industrial energy efficiency. ENERGY STAR for Industry Certification launched at the Energy and Mines Ministers' Conference on August 15, 2017. The ISO 50001:2018 standard, Energy management system–Requirements with guidance for use, was published in August 2018."
British Columbia Cement Low Carbon Fuel Program* ,Heavy Industry,"CO2, CH4, N2O",Reduce industrial GHG emissions,Economic,Implemented,2016,British Columbia,NEh,NEh,"Over the five year life of the program, British Columbia will offer up to $27 million in conditional incentives to encourage cement producers to use a higher percentage of renewables in their fuel mix, to secure long term renewable fuel supply contracts, and to meet or beat new emissions intensity benchmarks. "
Ontario Regulatory Changes for Reducing Coal Use in Energy-Intensive Industries,Heavy Industry,CO2,"Reduce GHG emissions, and coal and petroleum coke use",Regulatory,Implemented,2015,Ontario,NEh,NEh,"Regulatory changes have been developed for major-emitting industrial sectors (including cement, lime and iron and steel manufacturers) that would help facilities use alternative, less carbon intensive fuels (such as biomass and waste materials) in place of coal and petroleum coke, and stay competitive with other jurisdictions that similarly allow the use of alternative fuel."
Ontario Greenhouse Gas Emissions Performance Standards Regulation   ,Heavy Industry,"CO2, CH4, N2O, HFCs, PFCs, SF6",Reduce greenhouse gas emissions from large industrial emitters,Regulatory,Implemented,2019,Ontario,NEh,NEh,"On July 4, 2019 the Ministry of the Environment, Conservation and Parks filed the Greenhouse Gas Emissions Performance Standards (EPS) regulation (O. Reg. 241/19) under the Environmental Protection Act. Regulating large emitters through the EPS program is a key part of the government’s proposed made-in-Ontario environment plan to reduce GHG emissions and help Ontario achieve its 2030 target. Ontario's EPS is a regulatory approach that establishes GHG emissions performance standards that facilities are required to meet or use compliance units for GHG emissions in excess of the standard. The purpose of the EPS regulation is to reduce GHGs in the industrial sector and to provide flexibility for Ontario circumstances as an alternative to the federal OBPS portion of the federal Greenhouse Gas Pollution Pricing Act. If implemented, the EPS program is estimated to cover approximately 24% of provincial emissions and incent industries to reduce emissions by requiring compliance with total annual emissions limits determined from emission performance standards. In general, total annual emissions limits would decline by 2% per year for industries that are highly emissions intensive and/or trade exposed and by 5% per year for other industries. Only registration provisions of the EPS apply at this point in time. Compliance obligations would apply for the first time in the year the federal government removes Ontario from Part 2 of Schedule 1 of the Greenhouse Gas Pollution Pricing Act, if the federal government makes that decision."
Newfoundland and Labrador Climate Change Challenge Fund* ,Heavy Industry,"CO2, CH4, N2O",Reduce industrial GHG emissions,Fiscal,Implemented,2019,Newfoundland and Labrador,55,57,"Newfoundland and Labrador is delivering a Climate Change Challenge Fund which can help industry enhance efficiency (other sectors, such as the residential, commercial and public building sectors are also eligible for assistance). This program is supported by the Low Carbon Economy Leadership Fund. Given that electricity will be largely emissionsfree after 2019, GHG reductions will accrue from fossil fuel sources."
British Columbia Landfill Gas Management Regulation* ,Waste and Other,CH4,Increase methane capture rate at landfills,Regulatory,Implemented,2009,British Columbia,NEh,700,"Under the regulation, regulated landfill sites (landfills that have over 100,000 tonnes of waste in place or receive more than 10,000 tonnes of municipal solid waste in any year after 2008) are required to conduct landfill gas assessments. If the assessment conducted in accordance with the regulation estimates a landfill will generate more than 1000 tonnes of methane in a calendar year, then they must install and operate a landfill gas collection and destruction system. The initial series of landfill gas assessments took place in 2011 with the requirement of a performance standard of 75% capture being in place by 2016. A new series of landfill gas assessments took place in 2016 with the same requirement being required for 2021. Reduction estimates are based on modelling of likely impact of the regulatory approach, allowing for variances in the performance of the technologic solutions applied to meet the standard. CleanBC commits the province to helping communities achieve 95% organic waste diversion, including systems in place to capture 75% of landfill gas. The province will also pursue efforts to make better use of waste, including bioenergy and biofuels."
Saskatchewan Solid Waste Management Strategy* ,Waste and Other,"CO2, CH4",Reduce emissions from municipal waste and wastewater,Voluntary Agreement,Adopted,2018,Saskatchewan,NEh,NEh,"Promote the upgrading of municipal waste and sewage management services to reduce, capture and use GHG emissions and biogas that would otherwise be released into the air, by making these projects a priority category for support under joint federal/provincial funding programs."
Manitoba (Winnipeg) Landfill Gas Expansion,Waste and Other,CH4,Reduce emissions from municipal waste ,Voluntary Agreement,Planned,2019,Manitoba,NEh,39.5,Reduce Manitoba’s emissions by expanding of methane capture technology at the Brady Road Landfill in Winnipeg. This project is co-funded by Canada under the Low Carbon Economy Fund. 
Ontario Landfill Gas Collection and Control Regulation*,Waste and Other,CH4,Reduce GHG emissions from the waste sector,Regulatory,Implemented ,2008,Ontario,1800,NEh,Ontario regulations require large landfills to collect and control landfill gas.  
Québec Residual Materials Management Policy*,Waste and Other,CH4,Reduce emissions from the waste sector ,Regulatory,Implemented,2011,Québec ,NEh,NEh,"Québec’s policy on residual waste management is aimed at creating a waste-free society that maximizes value added through sound management of Québec’s residual waste, and the policy’s underlying objective is to ensure that only residual waste disposed of in Québec is final waste. To help achieve this objective, the policy sets out the implementation of measures for addressing three major residual waste management issues: stop wasting resources; help achieve the objectives of Québec’s action plan on climate change and energy strategy; and empower all those concerned by residual waste management. The policy is still in effect. However, its 2011-2015 action plan has not been renewed. The next five-year action plan is scheduled to start in 2020."
Québec Royalties (Regular and Extra) for Residual Material Disposal,Waste and Other,CH4,Reduce emissions from the waste sector,Regulatory,Implemented,2006,Québec  ,NEh,NEh,"Royalties on residual material disposal were implemented in 2006 and 2010 to reduce the quantities of eliminated residual material and also to increase the lifespan of disposal sites. The royalties also fund the preparation, implementation and revision of residual material management plans as well as the measures arising from the Québec Policy on Residual Waste Management (Politique québécoise de gestion des matières résiduelles) and the Biomethanization and compost treatment program for organic material (Programme de traitement des matières organiques par biométhanisation et compostage).  "
Québec Processing organic matter using biomethane and composting Program*,Waste and Other,"CH4, CO2",Reduce emissions in the waste sector,Economic,Implemented,2009,Québec  ,80,NEh,This program provides financial support to municipalities and the private sector for the development of facilities to process organic matter. The program aims to reduce the amount of organic matter and thus reduce GHG emissions. The program has been extended until 2022. 
Québec Program to Support Composting in Small Municipalities*,Waste and Other,CH4,Reduce emissions in the waste sector,Economic,Implemented,2014,Québec  ,1,NEh,The Program allows small municipalities and Indigenous communities to obtain financial support for the implementation of domestic or communal composters on their territory. The program aims to reduce the amount of organic waste sent to landfills and the associated GHG emissions.  
Québec Regulation Respecting the Landfilling and Incineration of Residual Materials*,Waste and Other,CH4,Reduce emissions in residual materials ,Regulatory,Implemented,2017,Québec ,NEh,NEh,"In 2005, the Government of Québec passed a major regulation seeking to minimize the impact of biogases coming from sanitary landfill sites. The Regulation respecting the landfilling and incineration of residual materials requires the largest technical landfill sites (i.e. those that landfill over 50,000 tonnes of residual materials per year) to capture the biogases and ideally make use of them or eliminate them.  "
